,Clase,Barrio,Ubicacion,Descripcion,Precio,Links,fecha_consulta,tipo_prop,operacion,Barrio_vf,localidad,Moneda,precio_efectivo,Precio_vf,Expensas,tdc,precio_en_pesos,ambientes,coords,filtro_coords,Ubicacion_norm,latitud,longitud
7414,"Departamento en Venta en San Nicolás, Centro","San Nicolás, Centro",Rodríguez Peña al 200,Venta Monoambiente a 1 Cuadra de Av. Callao y Av. Corrientes,USD  74.000,https://www.argenprop.com/departamento-en-venta-en-san-nicolas-1-ambiente--15410040,2024_03_01,Departamento,Venta,San Nicolás, Centro,Dólares,precio,74000,0,1070,79180000,Monoambiente,"(-34.6067025622875, -58.3907433238598)",False,Peña 200,-34.6067025622875,-58.3907433238598
7415,"Departamento en Venta en Villa Crespo, Capital Federal","Villa Crespo, Capital Federal",Galicia 500,Oficina Deposito Monoambiente Venta Villa Crespo,USD  42.000+$43.000expensas,https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--15410069,2024_03_01,Departamento,Venta,Villa Crespo, Capital Federal,Dólares,precio,42000,43000,1070,44940000,Monoambiente,"(-34.6039243391426, -58.4485493042268)",False,Galicia 500,-34.6039243391426,-58.4485493042268
7416,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal",Av cabildo 2200,Venta Monoambiente sobre Av. Cabildo 2200,USD  45.000+$12.000expensas,https://www.argenprop.com/departamento-en-venta-en-belgrano--15410104,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,45000,12000,1070,48150000,Monoambiente,"(-34.5610854118172, -58.4575068804582)",False,cabildo 2200,-34.5610854118172,-58.4575068804582
7417,"Departamento en Venta en Colegiales, Capital Federal","Colegiales, Capital Federal",MOLDES 800,"Departamento 1 Ambiente - Colegiales, Capital Federal",USD  88.300,https://www.argenprop.com/departamento-en-venta-en-colegiales-1-ambiente--15410133,2024_03_01,Departamento,Venta,Colegiales, Capital Federal,Dólares,precio,88300,0,1070,94481000,Monoambiente,"(-34.5719233352835, -58.4486401227416)",False,MOLDES 800,-34.5719233352835,-58.4486401227416
7418,"Departamento en Venta en Flores, Capital Federal","Flores, Capital Federal",Avenida Avellaneda 2800,Venta Depto Monoambiente Div C/patio Terraza 48 m2,USD  55.900+$15.000expensas,https://www.argenprop.com/departamento-en-venta-en-flores-1-ambiente--15410145,2024_03_01,Departamento,Venta,Flores, Capital Federal,Dólares,precio,55900,15000,1070,59813000,Monoambiente,"(-34.6259582082392, -58.470251280899)",False,Avellaneda 2800,-34.6259582082392,-58.470251280899
7419,"Departamento en Venta en Palermo, Capital Federal","Palermo, Capital Federal",Bulnes 1800,Venta Monoambiente Edificio Alquiler Temporario,USD  85.000,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--15410148,2024_03_01,Departamento,Venta,Palermo, Capital Federal,Dólares,precio,85000,0,1070,90950000,Monoambiente,"(-34.590653217705, -58.4140577358236)",False,Bulnes 1800,-34.590653217705,-58.4140577358236
7420,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Avenida Presidente Manuel Quintana 400,"Monoambiente Piso 11, Av Quintana 400 Recoleta",USD  56.000,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15410341,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,56000,0,1070,59920000,Monoambiente,"(-34.5891312195706, -58.3889752873915)",False,Quintana 400,-34.5891312195706,-58.3889752873915
7421,"Departamento en Venta en Villa Real, Capital Federal","Villa Real, Capital Federal",Simbrón 6000,Venta Departamento Monoambiente Villa Real Balcon,Consultarprecio,https://www.argenprop.com/departamento-en-venta-en-villa-real-1-ambiente--15188691,2024_03_01,Departamento,Venta,Villa Real, Capital Federal,Pesos,sin precio - Consultar,0,0,1,0,Monoambiente,"(-34.6222340778411, -58.528534835145)",False,Simbrón 6000,-34.6222340778411,-58.528534835145
7422,"Departamento en Venta en Almagro, Capital Federal","Almagro, Capital Federal",Jerónimo Salguero 700,Venta Departamento Monoambiente Cochera Almagro,USD  78.800+$58.000expensas,https://www.argenprop.com/departamento-en-venta-en-almagro-1-ambiente--15410405,2024_03_01,Departamento,Venta,Almagro, Capital Federal,Dólares,precio,78800,58000,1070,84316000,Monoambiente,"(-34.6020499947429, -58.4193397352451)",False,Salguero 700,-34.6020499947429,-58.4193397352451
7423,"Departamento en Venta en Paternal, Capital Federal","Paternal, Capital Federal",Fragata Presidente Sarmiento 2000,Venta Departamento  Monoambiente Amoblado,USD  48.000,https://www.argenprop.com/departamento-en-venta-en-paternal-1-ambiente--15410450,2024_03_01,Departamento,Venta,Paternal, Capital Federal,Dólares,precio,48000,0,1070,51360000,Monoambiente,"(-34.6058575117897, -58.3951422706192)",False,Sarmiento 2000,-34.6058575117897,-58.3951422706192
7424,"Departamento en Venta en Palermo Chico, Palermo","Palermo Chico, Palermo",Cabello 3400,Venta Monoambiente Amoblado Palermo Chico,USD  148.900+$129.000expensas,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-1-ambiente--15410590,2024_03_01,Departamento,Venta,Palermo Chico, Palermo,Dólares,precio,148900,129000,1070,159323000,Monoambiente,"(-34.5813724935662, -58.4086660532818)",False,Cabello 3400,-34.5813724935662,-58.4086660532818
7425,"Departamento en Venta en Palermo, Capital Federal","Palermo, Capital Federal",Avenida General Indalecio Chenaut 1800,Venta Departamento Monoambiente Div Balcon Lateral,USD  90.000+$32.000expensas,https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--14822493,2024_03_01,Departamento,Venta,Palermo, Capital Federal,Dólares,precio,90000,32000,1070,96300000,Monoambiente,"(-34.5705942399719, -58.4314307836607)",False,Chenaut 1800,-34.5705942399719,-58.4314307836607
7426,"Departamento en Venta en Recoleta, Barrio Norte","Recoleta, Barrio Norte",Paraguay 3000,Venta Monoambiente Recoleta con Balcon Apto Prof,USD  103.000,https://www.argenprop.com/departamento-en-venta-en-recoleta-1-ambiente--15410746,2024_03_01,Departamento,Venta,Recoleta, Barrio Norte,Dólares,precio,103000,0,1070,110210000,Monoambiente,"(-34.5956626126041, -58.4096237508902)",False,Paraguay 3000,-34.5956626126041,-58.4096237508902
7427,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal","Olazabal 2600, entre Amenabar y Moldes","Venta Departamento Apto Profesional de 1 Ambiente en Belgrano, en Construccion",USD  98.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--15413265,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,98000,0,1070,104860000,Monoambiente,"(-34.5612714195403, -58.460172587189)",False,Olazabal 2600,-34.5612714195403,-58.460172587189
7428,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal","Olazabal 2600, entre Amenabar y Moldes","Venta Departamento de 1 Ambiente con Balcon Terraza en Belgrano, en Construccion",USD  96.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--15413267,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,96000,0,1070,102720000,Monoambiente,"(-34.5612714195403, -58.460172587189)",False,Olazabal 2600,-34.5612714195403,-58.460172587189
7429,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal","Olazabal 2600, entre Amenabar y Moldes","Venta Departamento Apto Profesional de 1 Ambiente en Belgrano, en Construccion",USD  107.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--15413268,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,107000,0,1070,114490000,Monoambiente,"(-34.5612714195403, -58.460172587189)",False,Olazabal 2600,-34.5612714195403,-58.460172587189
7430,"Departamento en Venta en Belgrano, Capital Federal","Belgrano, Capital Federal","Olazabal 2600, entre Amenabar y Moldes","Venta Departamento Apto Profesional de 1 Ambiente en Belgrano, en Construccion",USD  96.000,https://www.argenprop.com/departamento-en-venta-en-belgrano-1-ambiente--15413278,2024_03_01,Departamento,Venta,Belgrano, Capital Federal,Dólares,precio,96000,0,1070,102720000,Monoambiente,"(-34.5612714195403, -58.460172587189)",False,Olazabal 2600,-34.5612714195403,-58.460172587189
